id,name,gender,role,team_id,captain_name
17,Michael Jordan,M,captain,1,Michael Jordan
1,Taylor Swift,F,member,1,Michael Jordan
2,Beyonce Knowles,F,member,1,Michael Jordan
25,Stephen Curry,M,member,1,Michael Jordan
33,Kylian Mbappe,M,member,1,Michael Jordan
41,Will Smith,M,member,1,Michael Jordan
49,Andy Lau,M,member,1,Michael Jordan
57,Shawn Mendes,M,member,1,Michael Jordan
18,LeBron James,M,captain,2,LeBron James
3,Rihanna Fenty,F,member,2,LeBron James
4,Adele Adkins,F,member,2,LeBron James
26,Kevin Durant,M,member,2,LeBron James
34,Neymar Junior,M,member,2,LeBron James
42,Denzel Washington,M,member,2,LeBron James
50,Jay Chou,M,member,2,LeBron James
58,Abel Tesfaye,M,member,2,LeBron James
19,Lionel Messi,M,captain,3,Lionel Messi
5,Lady Gaga,F,member,3,Lionel Messi
6,Emma Watson,F,member,3,Lionel Messi
27,Novak Djokovic,M,member,3,Lionel Messi
35,Leonardo DiCaprio,M,member,3,Lionel Messi
43,Matt Damon,M,member,3,Lionel Messi
51,Bruno Mars,M,member,3,Lionel Messi
59,Daniel Craig,M,member,3,Lionel Messi
20,Cristiano Ronaldo,M,captain,4,Cristiano Ronaldo
7,Scarlett Johansson,F,member,4,Cristiano Ronaldo
8,Serena Williams,F,member,4,Cristiano Ronaldo
28,Rafael Nadal,M,member,4,Cristiano Ronaldo
36,Johnny Depp,M,member,4,Cristiano Ronaldo
44,Ryan Reynolds,M,member,4,Cristiano Ronaldo
52,Ed Sheeran,M,member,4,Cristiano Ronaldo
60,George Clooney,M,member,4,Cristiano Ronaldo
21,Roger Federer,M,captain,5,Roger Federer
9,Oprah Winfrey,F,member,5,Roger Federer
10,Ariana Grande,F,member,5,Roger Federer
29,Usain Bolt,M,member,5,Roger Federer
37,Robert Downey,M,member,5,Roger Federer
45,Ryan Gosling,M,member,5,Roger Federer
53,Justin Bieber,M,member,5,Roger Federer
61,Morgan Freeman,M,member,5,Roger Federer
22,Tom Cruise,M,captain,6,Tom Cruise
11,Billie Eilish,F,member,6,Tom Cruise
12,Natalie Portman,F,member,6,Tom Cruise
30,Michael Phelps,M,member,6,Tom Cruise
38,Chris Evans,M,member,6,Tom Cruise
46,Hugh Jackman,M,member,6,Tom Cruise
54,Aubrey Drake,M,member,6,Tom Cruise
62,Samuel Jackson,M,member,6,Tom Cruise
23,Brad Pitt,M,captain,7,Brad Pitt
13,Anne Hathaway,F,member,7,Brad Pitt
14,Jennifer Lawrence,F,member,7,Brad Pitt
31,Tiger Woods,M,member,7,Brad Pitt
39,Chris Hemsworth,M,member,7,Brad Pitt
47,Jackie Chan,M,member,7,Brad Pitt
55,Marshall Eminem,M,member,7,Brad Pitt
63,Ben Affleck,M,member,7,Brad Pitt
24,Keanu Reeves,M,captain,8,Keanu Reeves
15,Emma Stone,F,member,8,Keanu Reeves
16,Zendaya Coleman,F,member,8,Keanu Reeves
32,David Beckham,M,member,8,Keanu Reeves
40,Tom Hanks,M,member,8,Keanu Reeves
48,Jet Li,M,member,8,Keanu Reeves
56,Harry Styles,M,member,8,Keanu Reeves
64,Mark Wahlberg,M,member,8,Keanu Reeves
