team_id,team_captain,name,role,gender
1,Michael Jordan,Michael Jordan,captain,M
1,Michael Jordan,Taylor Swift,member,F
1,Michael Jordan,Beyonce Knowles,member,F
1,Michael Jordan,Stephen Curry,member,M
1,Michael Jordan,Kylian Mbappe,member,M
1,Michael Jordan,Will Smith,member,M
1,Michael Jordan,Andy Lau,member,M
1,Michael Jordan,Shawn Mendes,member,M
2,LeBron James,LeBron James,captain,M
2,LeBron James,Rihanna Fenty,member,F
2,LeBron James,Adele Adkins,member,F
2,LeBron James,Kevin Durant,member,M
2,LeBron James,Neymar Junior,member,M
2,LeBron James,Denzel Washington,member,M
2,LeBron James,Jay Chou,member,M
2,LeBron James,Abel Tesfaye,member,M
3,Lionel Messi,Lionel Messi,captain,M
3,Lionel Messi,Lady Gaga,member,F
3,Lionel Messi,Emma Watson,member,F
3,Lionel Messi,Novak Djokovic,member,M
3,Lionel Messi,Leonardo DiCaprio,member,M
3,Lionel Messi,Matt Damon,member,M
3,Lionel Messi,Bruno Mars,member,M
3,Lionel Messi,Daniel Craig,member,M
4,Cristiano Ronaldo,Cristiano Ronaldo,captain,M
4,Cristiano Ronaldo,Scarlett Johansson,member,F
4,Cristiano Ronaldo,Serena Williams,member,F
4,Cristiano Ronaldo,Rafael Nadal,member,M
4,Cristiano Ronaldo,Johnny Depp,member,M
4,Cristiano Ronaldo,Ryan Reynolds,member,M
4,Cristiano Ronaldo,Ed Sheeran,member,M
4,Cristiano Ronaldo,George Clooney,member,M
5,Roger Federer,Roger Federer,captain,M
5,Roger Federer,Oprah Winfrey,member,F
5,Roger Federer,Ariana Grande,member,F
5,Roger Federer,Usain Bolt,member,M
5,Roger Federer,Robert Downey,member,M
5,Roger Federer,Ryan Gosling,member,M
5,Roger Federer,Justin Bieber,member,M
5,Roger Federer,Morgan Freeman,member,M
6,Tom Cruise,Tom Cruise,captain,M
6,Tom Cruise,Billie Eilish,member,F
6,Tom Cruise,Natalie Portman,member,F
6,Tom Cruise,Michael Phelps,member,M
6,Tom Cruise,Chris Evans,member,M
6,Tom Cruise,Hugh Jackman,member,M
6,Tom Cruise,Aubrey Drake,member,M
6,Tom Cruise,Samuel Jackson,member,M
7,Brad Pitt,Brad Pitt,captain,M
7,Brad Pitt,Anne Hathaway,member,F
7,Brad Pitt,Jennifer Lawrence,member,F
7,Brad Pitt,Tiger Woods,member,M
7,Brad Pitt,Chris Hemsworth,member,M
7,Brad Pitt,Jackie Chan,member,M
7,Brad Pitt,Marshall Eminem,member,M
7,Brad Pitt,Ben Affleck,member,M
8,Keanu Reeves,Keanu Reeves,captain,M
8,Keanu Reeves,Emma Stone,member,F
8,Keanu Reeves,Zendaya Coleman,member,F
8,Keanu Reeves,David Beckham,member,M
8,Keanu Reeves,Tom Hanks,member,M
8,Keanu Reeves,Jet Li,member,M
8,Keanu Reeves,Harry Styles,member,M
8,Keanu Reeves,Mark Wahlberg,member,M
